user_being_followed_id,user_following_id
249,70
71,133
230,88
224,231
287,180
140,265
32,193
4,68
216,107
226,160
79,290
213,58
209,193
124,195
219,280
275,230
57,16
114,242
151,214
241,151
3,62
15,182
117,260
255,114
163,168
49,46
37,276
205,14
128,121
33,183
204,159
64,176
201,259
286,107
114,28
258,124
50,193
252,263
128,116
222,47
81,212
21,83
265,170
289,279
183,241
42,61
194,72
11,49
30,151
159,249
181,282
100,93
155,64
94,47
83,216
108,25
30,258
213,76
190,292
157,31
64,255
296,39
226,131
60,32
78,212
266,223
94,146
182,234
58,237
158,153
11,97
297,96
151,280
289,178
95,234
44,283
102,246
149,249
141,224
288,5
224,258
110,4
240,200
262,32
21,36
95,181
167,122
97,193
204,52
146,229
124,203
45,257
192,152
204,177
18,167
87,147
170,206
62,123
230,101
36,288
257,36
53,266
250,150
119,34
18,127
46,170
255,222
288,201
20,253
54,27
266,153
40,129
135,213
238,189
149,102
176,166
113,61
94,41
222,267
2,8
5,6
161,253
103,254
42,25
262,292
170,10
139,196
133,79
176,179
132,51
89,245
227,157
123,176
41,242
111,162
68,232
279,85
113,45
93,228
166,105
107,13
149,213
202,119
55,286
10,103
86,71
283,118
192,256
7,136
38,291
144,288
115,171
267,16
112,146
268,93
83,202
195,16
218,136
287,108
3,10
101,52
273,159
85,186
257,249
244,38
96,130
26,205
237,158
163,153
277,34
6,51
141,157
96,169
170,217
11,107
101,16
108,2
209,291
111,45
50,3
77,9
173,27
260,61
170,147
59,38
185,118
13,57
93,42
293,181
288,183
53,29
188,232
266,37
181,219
276,199
157,176
4,90
259,51
55,217
229,76
58,296
159,176
23,94
6,57
28,95
23,207
60,151
270,113
157,76
75,278
283,106
150,27
105,117
115,244
239,128
207,198
25,38
285,245
160,82
89,113
121,43
46,130
216,202
208,258
65,11
55,139
144,61
6,255
106,85
82,56
33,244
299,106
107,102
229,48
271,249
159,119
192,257
130,215
8,162
244,46
249,265
11,231
163,30
298,83
96,260
32,212
158,56
133,51
277,251
8,99
239,10
50,43
49,228
88,151
165,24
297,177
51,271
288,294
253,46
34,130
10,146
184,145
37,228
235,196
268,167
259,299
17,11
184,163
237,256
114,147
280,120
195,40
103,151
133,282
158,50
52,165
166,226
129,69
189,16
202,153
239,175
41,199
223,25
56,183
283,245
205,185
215,9
179,88
123,202
268,284
69,81
61,223
21,29
19,208
212,77
16,81
100,4
187,148
169,81
184,47
143,102
269,25
250,265
230,227
249,277
54,288
282,246
179,82
162,197
121,20
203,52
166,25
218,14
147,218
126,300
76,167
41,117
67,200
42,129
152,93
227,162
153,8
159,72
276,252
230,232
294,126
69,208
176,63
194,264
224,209
116,131
180,95
142,232
119,136
150,115
296,43
179,175
173,249
85,263
80,180
97,253
264,130
225,295
112,250
71,190
154,169
127,75
224,137
143,37
104,25
179,117
131,137
100,59
172,266
177,279
101,278
189,208
292,64
93,235
130,3
211,123
202,296
62,70
30,165
114,170
34,259
226,15
198,41
271,98
199,281
160,78
198,145
147,264
257,133
124,284
125,123
147,247
39,93
64,65
260,82
158,214
